USERID,INCOME,ENTERTAINMENT,BABY,GENDER,SHOPPING,SHOPID,ARRIVAL_TIME,USER_LONGITUDE,USER_LATITUDE,DURATION,SHOP_LONGITUDE,SHOP_LATITUDE,CLASSIFICATION
530.000000,1.000000,1.000000,1.000000,2.000000,1.000000,10508.000000,20140813105558.000000,115.838890,38.973286,27.000000,115.853953,38.976796,3.000000
7960.000000,2.000000,1.000000,1.000000,2.000000,7.000000,3864.000000,20140824154833.000000,115.462250,38.865200,38.000000,115.468225,38.865958,6.000000
7960.000000,2.000000,1.000000,1.000000,2.000000,7.000000,3800.000000,20140823190719.000000,115.496530,38.875850,16.000000,115.501473,38.876162,6.000000
7960.000000,2.000000,1.000000,1.000000,2.000000,7.000000,3789.000000,20140823130336.000000,115.462250,38.865200,34.000000,115.489085,38.865558,6.000000
7960.000000,2.000000,1.000000,1.000000,2.000000,7.000000,3864.000000,20140822175420.000000,115.462250,38.865200,38.000000,115.468225,38.865958,6.000000
5554.000000,3.000000,3.000000,0.000000,1.000000,9.000000,3718.000000,20140815193325.000000,115.494100,38.863650,27.000000,115.508873,38.863970,6.000000
5554.000000,3.000000,3.000000,0.000000,1.000000,9.000000,4927.000000,20140824184943.000000,115.491910,38.855470,38.000000,115.501240,38.861575,6.000000
4434.000000,2.000000,1.000000,1.000000,2.000000,7.000000,4921.000000,20140812175909.000000,115.474760,38.874035,27.000000,115.475496,38.879146,6.000000
4434.000000,2.000000,1.000000,1.000000,2.000000,7.000000,4987.000000,20140820191512.000000,115.460000,38.874800,38.000000,115.475502,38.883085,6.000000
8650.000000,3.000000,3.000000,0.000000,1.000000,9.000000,3836.000000,20140816114857.000000,115.487210,38.849870,27.000000,115.500701,38.855078,6.000000
9195.000000,2.000000,1.000000,1.000000,2.000000,7.000000,11958.000000,20140824192814.000000,115.962390,39.505230,38.000000,116.028527,39.508346,1.000000
9195.000000,2.000000,1.000000,1.000000,2.000000,7.000000,4543.000000,20140820173304.000000,115.463010,38.891567,16.000000,115.515345,39.354000,6.000000
9195.000000,2.000000,1.000000,1.000000,2.000000,7.000000,648.000000,20140818152856.000000,115.379390,38.815200,34.000000,115.453042,38.835161,1.000000
9195.000000,2.000000,1.000000,1.000000,2.000000,7.000000,1706.000000,20140818144457.000000,114.702590,38.586870,38.000000,115.173816,38.711615,6.000000
7281.000000,3.000000,1.000000,0.000000,1.000000,6.000000,9165.000000,20140812103741.000000,115.462950,38.817400,27.000000,115.468659,38.830503,1.000000
7281.000000,3.000000,1.000000,0.000000,1.000000,6.000000,9695.000000,20140820174051.000000,115.544670,38.805300,38.000000,115.569097,38.807170,1.000000
7281.000000,3.000000,1.000000,0.000000,1.000000,6.000000,664.000000,20140818122320.000000,115.456310,38.783980,16.000000,115.474703,38.851994,9.000000
7281.000000,3.000000,1.000000,0.000000,1.000000,6.000000,3171.000000,20140814112537.000000,115.456310,38.783980,34.000000,115.471890,38.789595,6.000000
193.000000,1.000000,2.000000,1.000000,1.000000,5.000000,10490.000000,20140824153458.000000,115.465800,38.852870,38.000000,115.472688,38.857579,1.000000
193.000000,1.000000,2.000000,1.000000,1.000000,5.000000,9215.000000,20140823183257.000000,115.474800,38.860725,16.000000,115.483664,38.860971,1.000000
193.000000,1.000000,2.000000,1.000000,1.000000,5.000000,9225.000000,20140821183632.000000,115.491910,38.855470,34.000000,115.493873,38.857087,1.000000
193.000000,1.000000,2.000000,1.000000,1.000000,5.000000,9086.000000,20140820181418.000000,115.532720,38.846070,38.000000,115.546104,38.856827,1.000000
2202.000000,2.000000,1.000000,1.000000,2.000000,7.000000,10494.000000,20140823174437.000000,115.460785,38.806390,38.000000,115.474694,38.814135,1.000000
2202.000000,2.000000,1.000000,1.000000,2.000000,7.000000,4937.000000,20140818111209.000000,115.467224,38.830555,16.000000,115.475599,38.875853,6.000000
8099.000000,2.000000,2.000000,0.000000,1.000000,5.000000,4947.000000,20140812123839.000000,115.491940,38.837776,27.000000,115.507967,38.852107,6.000000
